Date,Open,High,Low,Close,Volume
2021-01-04,11.350000381469727,12.800000190734863,11.1899995803833,12.710000038146973,2010400
2021-01-05,12.5,13.100000381469727,12.199999809265137,12.75,1179800
2021-01-06,12.760000228881836,13.630000114440918,12.470000267028809,12.800000190734863,1535400
2021-01-07,13.140000343322754,14.097000122070312,13.079999923706055,13.899999618530273,1423000
2021-01-08,14.260000228881836,14.850000381469727,13.5,14.119999885559082,1749900
2021-01-11,13.65999984741211,14.399999618530273,13.149999618530273,13.369999885559082,1344500
2021-01-12,13.420000076293945,14.109999656677246,13.420000076293945,13.850000381469727,867200
2021-01-13,13.899999618530273,14.149999618530273,13.649999618530273,13.6899995803833,849800
2021-01-14,13.739999771118164,13.984000205993652,13.010000228881836,13.569999694824219,981200
2021-01-15,13.75,13.90999984741211,12.710000038146973,12.930000305175781,1126500
2021-01-19,13.149999618530273,13.869999885559082,12.899999618530273,13.59000015258789,1161200
2021-01-20,13.550000190734863,13.699999809265137,13.020000457763672,13.319999694824219,1021500
2021-01-21,13.399999618530273,13.539999961853027,12.609999656677246,12.90999984741211,1070700
2021-01-22,12.989999771118164,14.869999885559082,12.819999694824219,14.350000381469727,2341600
2021-01-25,14.84000015258789,17.040000915527344,14.524999618530273,16.899999618530273,3277800
2021-01-26,17.299999237060547,18.790000915527344,15.8100004196167,16.15999984741211,2970000
2021-01-27,15.699999809265137,15.920000076293945,13.399999618530273,13.609999656677246,3005900
2021-01-28,14.460000038146973,14.5,13.383999824523926,13.449999809265137,1896300
2021-01-29,13.579999923706055,14.979999542236328,13.579999923706055,14.279999732971191,1532900
2021-02-01,14.819999694824219,16.709999084472656,14.199999809265137,16.709999084472656,3983000
2021-02-02,16.709999084472656,17.690000534057617,15.210000038146973,17.5,2942900
2021-02-03,17.520000457763672,17.839000701904297,16.31999969482422,17.469999313354492,1582300
2021-02-04,17.389999389648438,17.75,16.746999740600586,17.690000534057617,1135600
2021-02-05,17.639999389648438,18.989999771118164,17.5,18.360000610351562,1673600
2021-02-08,18.920000076293945,20.389999389648438,18.799999237060547,19.15999984741211,1735700
2021-02-09,19.5,22.41900062561035,18.94700050354004,21.579999923706055,2112900
2021-02-10,22.836999893188477,22.836999893188477,19.200000762939453,21.06999969482422,2829200
2021-02-11,21.850000381469727,22.8799991607666,21.371999740600586,22.079999923706055,1599800
2021-02-12,22.200000762939453,22.700000762939453,21.1299991607666,22.219999313354492,1106000
2021-02-16,22.18199920654297,22.420000076293945,21.079999923706055,21.350000381469727,1077500
2021-02-17,22.0,24.489999771118164,20.90999984741211,24.309999465942383,2750300
2021-02-18,23.520000457763672,24.610000610351562,22.327999114990234,23.510000228881836,1651000
2021-02-19,23.75,24.030000686645508,22.010000228881836,22.93000030517578,1323600
2021-02-22,22.56999969482422,22.65999984741211,19.280000686645508,19.559999465942383,1646100
2021-02-23,18.809999465942383,19.389999389648438,16.34000015258789,19.15999984741211,2232700
2021-02-24,19.610000610351562,19.969999313354492,18.989999771118164,19.579999923706055,820200
2021-02-25,18.809999465942383,19.690000534057617,16.81999969482422,17.200000762939453,2329600
2021-02-26,17.260000228881836,17.510000228881836,15.5,15.9399995803833,1468100
2021-03-01,16.610000610351562,17.06999969482422,15.649999618530273,16.40999984741211,1135400
2021-03-02,16.25,16.809999465942383,15.729999542236328,15.760000228881836,962600
2021-03-03,15.729999542236328,15.98900032043457,14.029999732971191,14.369999885559082,1744400
2021-03-04,14.289999961853027,14.289999961853027,12.220000267028809,13.180000305175781,2182500
2021-03-05,13.807999610900879,13.807999610900879,11.649999618530273,12.9399995803833,1758300
2021-03-08,13.0600004196167,14.170000076293945,12.65999984741211,13.09000015258789,1086500
2021-03-09,13.800000190734863,15.1899995803833,13.489999771118164,14.819999694824219,1049900
2021-03-10,15.100000381469727,15.708999633789062,14.630000114440918,14.699999809265137,1067500
2021-03-11,15.15999984741211,17.200000762939453,15.029999732971191,16.8799991607666,1259200
2021-03-12,18.209999084472656,18.209999084472656,16.299999237060547,16.760000228881836,2585800
2021-03-15,17.219999313354492,18.229999542236328,16.31999969482422,17.729999542236328,2059500
2021-03-16,17.829999923706055,17.844999313354492,16.260000228881836,16.739999771118164,960800
2021-03-17,16.209999084472656,17.6200008392334,15.800000190734863,17.3799991607666,2632700
2021-03-18,17.239999771118164,18.520000457763672,16.94499969482422,17.270000457763672,1260900
2021-03-19,17.260000228881836,17.59000015258789,15.760000228881836,16.420000076293945,5880600
2021-03-22,16.520000457763672,16.860000610351562,15.5600004196167,15.84000015258789,1350500
2021-03-23,15.609999656677246,15.84000015258789,14.25,14.359999656677246,1357400
2021-03-24,14.510000228881836,14.600000381469727,13.140000343322754,13.199999809265137,1075200
2021-03-25,13.039999961853027,14.149999618530273,12.84000015258789,14.119999885559082,1334600
2021-03-26,13.949999809265137,14.210000038146973,13.289999961853027,13.850000381469727,1233000
2021-03-29,13.75,13.989999771118164,12.789999961853027,13.039999961853027,1071500
2021-03-30,12.880000114440918,13.760000228881836,12.779999732971191,13.550000190734863,622400
2021-03-31,13.539999961853027,14.489999771118164,13.3100004196167,14.130000114440918,1148500
2021-04-01,14.1899995803833,14.630000114440918,13.699999809265137,14.0,1131500
2021-04-05,14.350000381469727,14.489999771118164,13.689000129699707,13.970000267028809,629600
2021-04-06,13.960000038146973,14.079999923706055,13.289999961853027,13.3100004196167,616200
2021-04-07,13.300000190734863,14.210000038146973,13.050000190734863,13.609999656677246,715300
2021-04-08,13.800000190734863,13.800000190734863,13.0600004196167,13.119999885559082,676500
2021-04-09,13.069999694824219,13.289999961853027,12.859999656677246,12.899999618530273,755100
2021-04-12,12.960000038146973,13.0,12.140000343322754,12.569999694824219,966000
2021-04-13,12.569999694824219,13.020000457763672,12.449999809265137,12.670000076293945,769400
2021-04-14,12.670000076293945,13.319999694824219,12.670000076293945,12.949999809265137,820200
2021-04-15,13.100000381469727,13.289999961853027,12.3100004196167,12.729999542236328,710300
2021-04-16,12.479999542236328,12.479999542236328,11.960000038146973,12.270000457763672,1092700
2021-04-19,12.100000381469727,12.34000015258789,11.510000228881836,11.779999732971191,895900
2021-04-20,11.729999542236328,12.154999732971191,11.350000381469727,11.8100004196167,672100
2021-04-21,11.779999732971191,12.430000305175781,11.699999809265137,12.430000305175781,820200
2021-04-22,12.684000015258789,13.119999885559082,12.079999923706055,12.680000305175781,868500
2021-04-23,12.569999694824219,12.720000267028809,12.279999732971191,12.4399995803833,554900
2021-04-26,12.729999542236328,13.670000076293945,12.59000015258789,13.470000267028809,953900
2021-04-27,13.5,14.100000381469727,13.039999961853027,13.84000015258789,1097100
2021-04-28,13.90999984741211,14.350000381469727,13.260000228881836,13.989999771118164,1340300
2021-04-29,14.119999885559082,14.888999938964844,13.430000305175781,14.220000267028809,1383500
2021-04-30,14.25,14.59000015258789,14.010000228881836,14.470000267028809,994400
2021-05-03,14.680000305175781,14.949999809265137,13.579999923706055,13.970000267028809,834100
2021-05-04,13.829999923706055,13.998000144958496,13.001999855041504,13.770000457763672,966800
2021-05-05,13.670000076293945,14.130000114440918,13.300000190734863,13.359999656677246,732700
2021-05-06,13.140000343322754,13.279999732971191,12.239999771118164,12.930000305175781,1128300
2021-05-07,12.979999542236328,13.59000015258789,12.90999984741211,13.270000457763672,656000
2021-05-10,13.680000305175781,13.699999809265137,13.039999961853027,13.079999923706055,757800
2021-05-11,12.329999923706055,13.359999656677246,12.199999809265137,13.34000015258789,687100
