timestamp,close,high,low,trade_count,open,volume,vwap,year,month,day,hour,ALT_close,ALT_high,ALT_low,ALT_trade_count,ALT_open,ALT_volume,ALT_vwap,ALT_year,ALT_month,ALT_day,ALT_hour,MRNA_close,MRNA_high,MRNA_low,MRNA_trade_count,MRNA_open,MRNA_volume,MRNA_vwap,MRNA_year,MRNA_month,MRNA_day,MRNA_hour,IBB_close,IBB_high,IBB_low,IBB_trade_count,IBB_open,IBB_volume,IBB_vwap,IBB_year,IBB_month,IBB_day,IBB_hour,hour_sin,hour_cos,day_sin,day_cos,month_sin,month_cos,time_embedding_0,time_embedding_1,time_embedding_2,time_embedding_3,time_embedding_4,time_embedding_5,time_embedding_6,time_embedding_7,ALT_hour_sin,ALT_hour_cos,ALT_day_sin,ALT_day_cos,ALT_month_sin,ALT_month_cos,ALT_time_embedding_0,ALT_time_embedding_1,ALT_time_embedding_2,ALT_time_embedding_3,ALT_time_embedding_4,ALT_time_embedding_5,ALT_time_embedding_6,ALT_time_embedding_7,MRNA_hour_sin,MRNA_hour_cos,MRNA_day_sin,MRNA_day_cos,MRNA_month_sin,MRNA_month_cos,MRNA_time_embedding_0,MRNA_time_embedding_1,MRNA_time_embedding_2,MRNA_time_embedding_3,MRNA_time_embedding_4,MRNA_time_embedding_5,MRNA_time_embedding_6,MRNA_time_embedding_7,IBB_hour_sin,IBB_hour_cos,IBB_day_sin,IBB_day_cos,IBB_month_sin,IBB_month_cos,IBB_time_embedding_0,IBB_time_embedding_1,IBB_time_embedding_2,IBB_time_embedding_3,IBB_time_embedding_4,IBB_time_embedding_5,IBB_time_embedding_6,IBB_time_embedding_7
2020-01-02 05:00:00+00:00,1.9213,1.93,1.88,407,1.89,129493,1.905628,2020,1,2,5,1.9213,1.93,1.88,407,1.89,129493,1.905628,2020,1,2,5,19.23,19.81,18.88,10306,19.57,1380698,19.158297,2020,1,2,5,119.89,121.75,118.94,27239,121.3,2901621,119.554798,2020,1,2,5,0.9659258262890683,0.25881904510252074,0.39435585511331855,0.9189578116202306,0.49999999999999994,0.8660254037844387,-0.57042855,-0.46080506,0.16667067,-0.4538063,0.35421768,0.1573937,0.3527283,-0.32162586,0.9659258262890683,0.25881904510252074,0.39435585511331855,0.9189578116202306,0.49999999999999994,0.8660254037844387,-0.23302689,0.079434395,0.1575459,0.5628061,-0.13141948,-0.27298754,0.120233715,-0.5772711,0.9659258262890683,0.25881904510252074,0.39435585511331855,0.9189578116202306,0.49999999999999994,0.8660254037844387,0.37136257,-0.7485052,0.77630454,-0.5508337,-0.15258953,-0.7926475,-0.32829112,-0.2985305,0.9659258262890683,0.25881904510252074,0.39435585511331855,0.9189578116202306,0.49999999999999994,0.8660254037844387,0.62870884,-0.22462729,-0.67874837,-0.30828616,-0.0831719,-0.2390215,-0.5693433,0.6857139
2020-01-03 05:00:00+00:00,1.92,1.95,1.8907,339,1.92,139478,1.929308,2020,1,3,5,1.92,1.95,1.8907,339,1.92,139478,1.929308,2020,1,3,5,18.89,19.36,18.72,7711,19.02,1940597,18.972347,2020,1,3,5,118.36,119.14,117.77,21394,118.2,5546277,118.399318,2020,1,3,5,0.9659258262890683,0.25881904510252074,0.5712682150947923,0.8207634412072763,0.49999999999999994,0.8660254037844387,-0.53534716,-0.51018363,0.21850824,-0.46752125,0.29797763,0.05933169,0.3668595,-0.3076155,0.9659258262890683,0.25881904510252074,0.5712682150947923,0.8207634412072763,0.49999999999999994,0.8660254037844387,-0.26578566,0.1764289,0.122866005,0.48692146,-0.14257759,-0.2017374,0.049312074,-0.6408809,0.9659258262890683,0.25881904510252074,0.5712682150947923,0.8207634412072763,0.49999999999999994,0.8660254037844387,0.42503265,-0.72743034,0.77694476,-0.576471,-0.089089684,-0.7963265,-0.34649637,-0.28733584,0.9659258262890683,0.25881904510252074,0.5712682150947923,0.8207634412072763,0.49999999999999994,0.8660254037844387,0.68004435,-0.16672869,-0.67699134,-0.3867516,-0.109492145,-0.25266248,-0.6316286,0.6442211
2020-01-06 05:00:00+00:00,1.95,1.95,1.9101,231,1.94,56566,1.939486,2020,1,6,5,1.95,1.95,1.9101,231,1.94,56566,1.939486,2020,1,6,5,18.13,18.74,18.01,11115,18.7,1988136,18.19932,2020,1,6,5,119.12,119.18,116.95,17661,117.69,2231722,118.346662,2020,1,6,5,0.9659258262890683,0.25881904510252074,0.9377521321470804,0.3473052528448203,0.49999999999999994,0.8660254037844387,-0.44991633,-0.6093881,0.28340706,-0.4203223,0.1013264,-0.23146337,0.4620168,-0.28394172,0.9659258262890683,0.25881904510252074,0.9377521321470804,0.3473052528448203,0.49999999999999994,0.8660254037844387,-0.2762085,0.4493937,0.1219589,0.22975609,-0.088496424,-0.024276055,-0.14409424,-0.79400814,0.9659258262890683,0.25881904510252074,0.9377521321470804,0.3473052528448203,0.49999999999999994,0.8660254037844387,0.5809796,-0.6120201,0.79236925,-0.56774575,0.11264637,-0.7654565,-0.37106112,-0.32350105,0.9659258262890683,0.25881904510252074,0.9377521321470804,0.3473052528448203,0.49999999999999994,0.8660254037844387,0.77030814,0.016452732,-0.6594236,-0.6187046,-0.08974536,-0.20977259,-0.7860866,0.45886698
2020-01-07 05:00:00+00:00,1.95,1.97,1.94,228,1.97,65874,1.963497,2020,1,7,5,1.95,1.97,1.94,228,1.97,65874,1.963497,2020,1,7,5,17.78,18.32,17.68,9739,18.15,1678496,17.904612,2020,1,7,5,119.15,119.64,117.96,17292,119.16,1738990,119.079902,2020,1,7,5,0.9659258262890683,0.25881904510252074,0.9884683243281114,0.1514277775045767,0.49999999999999994,0.8660254037844387,-0.4329455,-0.6235365,0.2726663,-0.37613845,0.03610758,-0.31157655,0.50563157,-0.28333443,0.9659258262890683,0.25881904510252074,0.9884683243281114,0.1514277775045767,0.49999999999999994,0.8660254037844387,-0.2500605,0.5206238,0.15608254,0.14860581,-0.043512877,0.013443691,-0.19264498,-0.827607,0.9659258262890683,0.25881904510252074,0.9884683243281114,0.1514277775045767,0.49999999999999994,0.8660254037844387,0.62395257,-0.5588351,0.8010953,-0.5363589,0.17354627,-0.741283,-0.36827993,-0.3566945,0.9659258262890683,0.25881904510252074,0.9884683243281114,0.1514277775045767,0.49999999999999994,0.8660254037844387,0.77900046,0.07160559,-0.650144,-0.68242097,-0.05107351,-0.1690693,-0.82127887,0.38352817
2020-01-08 05:00:00+00:00,1.88,1.97,1.88,237,1.96,53011,1.93362,2020,1,8,5,1.88,1.97,1.88,237,1.96,53011,1.93362,2020,1,8,5,17.98,18.08,17.76,7129,17.99,1267235,17.96818,2020,1,8,5,120.22,120.875,118.86,21387,119.07,3477853,120.18526,2020,1,8,5,0.9659258262890683,0.25881904510252074,0.9987165071710528,-0.05064916883871264,0.49999999999999994,0.8660254037844387,-0.42350146,-0.62770957,0.24585073,-0.31923866,-0.023914127,-0.37735915,0.5515914,-0.28655308,0.9659258262890683,0.25881904510252074,0.9987165071710528,-0.05064916883871264,0.49999999999999994,0.8660254037844387,-0.21003559,0.57763535,0.2053294,0.07706464,0.012391458,0.037227936,-0.22969173,-0.8520108,0.9659258262890683,0.25881904510252074,0.9987165071710528,-0.05064916883871264,0.49999999999999994,0.8660254037844387,0.6598349,-0.5010472,0.8109349,-0.4911547,0.22673105,-0.7105245,-0.36001346,-0.39797753,0.9659258262890683,0.25881904510252074,0.9987165071710528,-0.05064916883871264,0.49999999999999994,0.8660254037844387,0.7772593,0.11962799,-0.63966465,-0.73532474,0.0016442083,-0.117165804,-0.84752977,0.30671793
2020-01-09 05:00:00+00:00,1.87,1.925,1.86,211,1.91,57032,1.886833,2020,1,9,5,1.87,1.925,1.86,211,1.91,57032,1.886833,2020,1,9,5,18.4,18.55,17.9,9793,18.0,1724725,18.252305,2020,1,9,5,121.04,121.63,120.53,17295,120.81,2033715,121.004649,2020,1,9,5,0.9659258262890683,0.25881904510252074,0.9680771188662043,-0.2506525322587204,0.49999999999999994,0.8660254037844387,-0.42208782,-0.6218614,0.20374708,-0.2514597,-0.07606372,-0.42683113,0.5976141,-0.29345465,0.9659258262890683,0.25881904510252074,0.9680771188662043,-0.2506525322587204,0.49999999999999994,0.8660254037844387,-0.1574786,0.6194446,0.26715925,0.018722922,0.07677794,0.046108507,-0.25394595,-0.8676632,0.9659258262890683,0.25881904510252074,0.9680771188662043,-0.2506525322587204,0.49999999999999994,0.8660254037844387,0.68779063,-0.44115686,0.8214094,-0.4329982,0.2701367,-0.6738243,-0.34654662,-0.44516066,0.9659258262890683,0.25881904510252074,0.9680771188662043,-0.2506525322587204,0.49999999999999994,0.8660254037844387,0.7650517,0.15855101,-0.62838614,-0.77659786,0.06614607,-0.056110937,-0.8651725,0.23231696
2020-01-10 05:00:00+00:00,1.85,1.88,1.81,276,1.87,73232,1.842135,2020,1,10,5,1.85,1.88,1.81,276,1.87,73232,1.842135,2020,1,10,5,19.14,21.0,19.05,26147,21.0,4746903,20.020654,2020,1,10,5,120.45,121.91,120.3751,20069,121.2,2591321,121.0299,2020,1,10,5,0.9659258262890683,0.25881904510252074,0.8978045395707416,-0.4403941515576344,0.49999999999999994,0.8660254037844387,-0.42878002,-0.6060575,0.14774895,-0.17539552,-0.118132636,-0.45890984,0.641586,-0.3037332,0.9659258262890683,0.25881904510252074,0.8978045395707416,-0.4403941515576344,0.49999999999999994,0.8660254037844387,-0.09436776,0.6457937,0.33824244,-0.023699265,0.14668843,0.039734673,-0.26463383,-0.87507,0.9659258262890683,0.25881904510252074,0.8978045395707416,-0.4403941515576344,0.49999999999999994,0.8660254037844387,0.70736796,-0.38203555,0.8320371,-0.3634857,0.30223814,-0.63224673,-0.3283553,-0.49577242,0.9659258262890683,0.25881904510252074,0.8978045395707416,-0.4403941515576344,0.49999999999999994,0.8660254037844387,0.7421858,0.1868758,-0.616757,-0.8062537,0.1394561,0.01149039,-0.8746881,0.16417974
2020-01-13 05:00:00+00:00,1.78,1.82,1.71,301,1.78,76845,1.772744,2020,1,13,5,1.78,1.82,1.71,301,1.78,76845,1.772744,2020,1,13,5,20.26,20.36,18.6,14526,19.26,2476191,19.812667,2020,1,13,5,119.16,120.58,118.08,34526,120.58,4034874,119.010039,2020,1,13,5,0.9659258262890683,0.25881904510252074,0.48530196253108104,-0.8743466161445821,0.49999999999999994,0.8660254037844387,-0.49191102,-0.5024007,-0.07887152,0.06758257,-0.16983978,-0.44749674,0.74537367,-0.34969434,0.9659258262890683,0.25881904510252074,0.48530196253108104,-0.8743466161445821,0.49999999999999994,0.8660254037844387,0.12946089,0.6328058,0.56679136,-0.04131791,0.35642585,-0.06530772,-0.2141764,-0.8492594,0.9659258262890683,0.25881904510252074,0.48530196253108104,-0.8743466161445821,0.49999999999999994,0.8660254037844387,0.71447444,-0.23850083,0.86053544,-0.115407676,0.32272416,-0.49525708,-0.25294766,-0.6433044,0.9659258262890683,0.25881904510252074,0.48530196253108104,-0.8743466161445821,0.49999999999999994,0.8660254037844387,0.60939056,0.20024899,-0.5845868,-0.830299,0.37534174,0.22222929,-0.85662884,0.029029045
2020-01-14 05:00:00+00:00,1.77,1.8242,1.76,213,1.76,52747,1.784208,2020,1,14,5,1.77,1.8242,1.76,213,1.76,52747,1.784208,2020,1,14,5,20.0,20.4979,19.55,11558,20.45,2114645,20.022208,2020,1,14,5,121.11,121.62,118.38,29807,119.05,3919729,120.59627,2020,1,14,5,0.9659258262890683,0.25881904510252074,0.29936312297335804,-0.9541392564000488,0.49999999999999994,0.8660254037844387,-0.5236038,-0.45193136,-0.16248348,0.14079976,-0.1601606,-0.4079702,0.7674303,-0.36783862,0.9659258262890683,0.25881904510252074,0.29936312297335804,-0.9541392564000488,0.49999999999999994,0.8660254037844387,0.20408964,0.5977192,0.63497317,-0.009853094,0.41595453,-0.12393385,-0.17164516,-0.823644,0.9659258262890683,0.25881904510252074,0.29936312297335804,-0.9541392564000488,0.49999999999999994,0.8660254037844387,0.69958943,-0.21023329,0.86776555,-0.032251872,0.30362678,-0.45266357,-0.22416368,-0.6840409,0.9659258262890683,0.25881904510252074,0.29936312297335804,-0.9541392564000488,0.49999999999999994,0.8660254037844387,0.54605204,0.18032858,-0.5763331,-0.8175221,0.4467503,0.2845378,-0.83436763,0.014159981
2020-01-15 05:00:00+00:00,1.8,1.81,1.77,219,1.78,43875,1.786714,2020,1,15,5,1.8,1.81,1.77,219,1.78,43875,1.786714,2020,1,15,5,20.24,20.58,19.94,12458,19.94,2276523,20.271161,2020,1,15,5,121.73,122.58,121.01,23840,121.1,5113319,121.872943,2020,1,15,5,0.9659258262890683,0.25881904510252074,0.10116832198743272,-0.994869323391895,0.49999999999999994,0.8660254037844387,-0.5581054,-0.39606777,-0.24358162,0.2044061,-0.1371884,-0.35141686,0.7825495,-0.38614878,0.9659258262890683,0.25881904510252074,0.10116832198743272,-0.994869323391895,0.49999999999999994,0.8660254037844387,0.27299738,0.5472516,0.69412893,0.038774952,0.466237,-0.19027777,-0.118390895,-0.78879553,0.9659258262890683,0.25881904510252074,0.10116832198743272,-0.994869323391895,0.49999999999999994,0.8660254037844387,0.6761956,-0.19462019,0.8734606,0.044333793,0.27216834,-0.41537625,-0.19547917,-0.71815383,0.9659258262890683,0.25881904510252074,0.10116832198743272,-0.994869323391895,0.49999999999999994,0.8660254037844387,0.47625685,0.14901741,-0.56998986,-0.7939087,0.5093342,0.33835995,-0.8032799,0.01605719
