timestamp,close,high,low,trade_count,open,volume,vwap,year,month,day,hour
2020-01-02 05:00:00+00:00,4.75,4.87,4.71,1605,4.83,286771,4.76259,2020,1,2,5
2020-01-03 05:00:00+00:00,4.65,4.7,4.53,1801,4.7,299645,4.613679,2020,1,3,5
2020-01-06 05:00:00+00:00,4.52,4.66,4.49,1575,4.58,282035,4.566914,2020,1,6,5
2020-01-07 05:00:00+00:00,4.255,4.5,4.11,6769,4.5,1197562,4.26625,2020,1,7,5
2020-01-08 05:00:00+00:00,4.39,4.45,4.26,3363,4.27,362798,4.372018,2020,1,8,5
2020-01-09 05:00:00+00:00,4.69,4.74,4.3737,2440,4.45,433911,4.602434,2020,1,9,5
2020-01-10 05:00:00+00:00,4.62,4.89,4.56,1806,4.7,252645,4.705174,2020,1,10,5
2020-01-13 05:00:00+00:00,4.81,4.87,4.56,1821,4.62,349353,4.750084,2020,1,13,5
2020-01-14 05:00:00+00:00,4.81,4.868,4.74,1451,4.8,199064,4.786528,2020,1,14,5
2020-01-15 05:00:00+00:00,4.83,4.89,4.775,1629,4.85,211315,4.819028,2020,1,15,5
2020-01-16 05:00:00+00:00,5.05,5.07,4.73,2952,4.77,646370,4.94932,2020,1,16,5
2020-01-17 05:00:00+00:00,5.24,5.3,5.07,4041,5.1,718088,5.183043,2020,1,17,5
2020-01-21 05:00:00+00:00,5.74,5.76,5.25,6459,5.29,1149888,5.565552,2020,1,21,5
2020-01-22 05:00:00+00:00,5.765,6.1,5.66,6503,5.76,1275760,5.869609,2020,1,22,5
2020-01-23 05:00:00+00:00,6.0,6.08,5.56,4772,5.77,698768,5.82166,2020,1,23,5
2020-01-24 05:00:00+00:00,6.07,6.37,6.01,3777,6.08,1114896,6.194662,2020,1,24,5
2020-01-27 05:00:00+00:00,5.97,6.11,5.8755,2874,6.0,400926,5.977953,2020,1,27,5
2020-01-28 05:00:00+00:00,5.75,6.1899,5.64,3157,6.0,544826,5.846238,2020,1,28,5
2020-01-29 05:00:00+00:00,5.59,5.73,5.41,2699,5.73,511751,5.549648,2020,1,29,5
2020-01-30 05:00:00+00:00,5.57,5.67,5.4601,1133,5.56,151499,5.546577,2020,1,30,5
2020-01-31 05:00:00+00:00,5.4,5.55,5.23,2185,5.51,408009,5.346469,2020,1,31,5
2020-02-03 05:00:00+00:00,5.61,5.67,5.39,2016,5.39,258130,5.571866,2020,2,3,5
2020-02-04 05:00:00+00:00,5.55,5.68,5.4411,2176,5.63,608884,5.550501,2020,2,4,5
