timestamp,close,high,low,trade_count,open,volume,vwap,year,month,day,hour
2020-01-02 05:00:00+00:00,119.89,121.75,118.94,27239,121.3,2901621,119.554798,2020,1,2,5
2020-01-03 05:00:00+00:00,118.36,119.14,117.77,21394,118.2,5546277,118.399318,2020,1,3,5
2020-01-06 05:00:00+00:00,119.12,119.18,116.95,17661,117.69,2231722,118.346662,2020,1,6,5
2020-01-07 05:00:00+00:00,119.15,119.64,117.96,17292,119.16,1738990,119.079902,2020,1,7,5
2020-01-08 05:00:00+00:00,120.22,120.875,118.86,21387,119.07,3477853,120.18526,2020,1,8,5
2020-01-09 05:00:00+00:00,121.04,121.63,120.53,17295,120.81,2033715,121.004649,2020,1,9,5
2020-01-10 05:00:00+00:00,120.45,121.91,120.3751,20069,121.2,2591321,121.0299,2020,1,10,5
2020-01-13 05:00:00+00:00,119.16,120.58,118.08,34526,120.58,4034874,119.010039,2020,1,13,5
2020-01-14 05:00:00+00:00,121.11,121.62,118.38,29807,119.05,3919729,120.59627,2020,1,14,5
2020-01-15 05:00:00+00:00,121.73,122.58,121.01,23840,121.1,5113319,121.872943,2020,1,15,5
2020-01-16 05:00:00+00:00,122.35,122.96,121.56,15721,122.59,2185319,122.228207,2020,1,16,5
2020-01-17 05:00:00+00:00,121.89,122.84,121.47,18180,122.76,1971243,121.91927,2020,1,17,5
2020-01-21 05:00:00+00:00,120.72,121.93,120.54,24277,121.7,2863634,121.102901,2020,1,21,5
2020-01-22 05:00:00+00:00,120.55,121.68,120.33,15443,121.0,1455003,120.759114,2020,1,22,5
2020-01-23 05:00:00+00:00,119.5,120.25,118.46,24619,120.16,3893824,119.486555,2020,1,23,5
2020-01-24 05:00:00+00:00,116.88,120.0,116.27,37702,119.85,4388462,117.369986,2020,1,24,5
2020-01-27 05:00:00+00:00,116.09,116.77,114.54,24107,115.0,2631774,115.866631,2020,1,27,5
2020-01-28 05:00:00+00:00,117.32,117.84,116.54,22449,117.03,2613583,117.351883,2020,1,28,5
2020-01-29 05:00:00+00:00,117.24,117.98,117.16,13712,117.75,1724402,117.52066,2020,1,29,5
2020-01-30 05:00:00+00:00,115.54,116.83,114.74,28937,116.48,4392208,115.569775,2020,1,30,5
