timestamp,close,high,low,trade_count,open,volume,vwap,year,month,day,hour,ALT_close,ALT_high,ALT_low,ALT_trade_count,ALT_open,ALT_volume,ALT_vwap,MRNA_close,MRNA_high,MRNA_low,MRNA_trade_count,MRNA_open,MRNA_volume,MRNA_vwap,IBB_close,IBB_high,IBB_low,IBB_trade_count,IBB_open,IBB_volume,IBB_vwap
2020-01-02 05:00:00+00:00,1.9213,1.93,1.88,407,1.89,129493,1.905628,2020,1,2,5,1.9213,1.93,1.88,407,1.89,129493,1.905628,19.23,19.81,18.88,10306,19.57,1380698,19.158297,119.89,121.75,118.94,27239,121.3,2901621,119.554798
2020-01-03 05:00:00+00:00,1.92,1.95,1.8907,339,1.92,139478,1.929308,2020,1,3,5,1.92,1.95,1.8907,339,1.92,139478,1.929308,18.89,19.36,18.72,7711,19.02,1940597,18.972347,118.36,119.14,117.77,21394,118.2,5546277,118.399318
2020-01-06 05:00:00+00:00,1.95,1.95,1.9101,231,1.94,56566,1.939486,2020,1,6,5,1.95,1.95,1.9101,231,1.94,56566,1.939486,18.13,18.74,18.01,11115,18.7,1988136,18.19932,119.12,119.18,116.95,17661,117.69,2231722,118.346662
2020-01-07 05:00:00+00:00,1.95,1.97,1.94,228,1.97,65874,1.963497,2020,1,7,5,1.95,1.97,1.94,228,1.97,65874,1.963497,17.78,18.32,17.68,9739,18.15,1678496,17.904612,119.15,119.64,117.96,17292,119.16,1738990,119.079902
2020-01-08 05:00:00+00:00,1.88,1.97,1.88,237,1.96,53011,1.93362,2020,1,8,5,1.88,1.97,1.88,237,1.96,53011,1.93362,17.98,18.08,17.76,7129,17.99,1267235,17.96818,120.22,120.875,118.86,21387,119.07,3477853,120.18526
2020-01-09 05:00:00+00:00,1.87,1.925,1.86,211,1.91,57032,1.886833,2020,1,9,5,1.87,1.925,1.86,211,1.91,57032,1.886833,18.4,18.55,17.9,9793,18.0,1724725,18.252305,121.04,121.63,120.53,17295,120.81,2033715,121.004649
2020-01-10 05:00:00+00:00,1.85,1.88,1.81,276,1.87,73232,1.842135,2020,1,10,5,1.85,1.88,1.81,276,1.87,73232,1.842135,19.14,21.0,19.05,26147,21.0,4746903,20.020654,120.45,121.91,120.3751,20069,121.2,2591321,121.0299
2020-01-13 05:00:00+00:00,1.78,1.82,1.71,301,1.78,76845,1.772744,2020,1,13,5,1.78,1.82,1.71,301,1.78,76845,1.772744,20.26,20.36,18.6,14526,19.26,2476191,19.812667,119.16,120.58,118.08,34526,120.58,4034874,119.010039
2020-01-14 05:00:00+00:00,1.77,1.8242,1.76,213,1.76,52747,1.784208,2020,1,14,5,1.77,1.8242,1.76,213,1.76,52747,1.784208,20.0,20.4979,19.55,11558,20.45,2114645,20.022208,121.11,121.62,118.38,29807,119.05,3919729,120.59627
2020-01-15 05:00:00+00:00,1.8,1.81,1.77,219,1.78,43875,1.786714,2020,1,15,5,1.8,1.81,1.77,219,1.78,43875,1.786714,20.24,20.58,19.94,12458,19.94,2276523,20.271161,121.73,122.58,121.01,23840,121.1,5113319,121.872943
2020-01-16 05:00:00+00:00,1.8234,1.84,1.79,274,1.79,81270,1.82066,2020,1,16,5,1.8234,1.84,1.79,274,1.79,81270,1.82066,21.01,21.87,20.77,27568,21.68,5244671,21.333898,122.35,122.96,121.56,15721,122.59,2185319,122.228207
2020-01-17 05:00:00+00:00,1.84,1.87,1.83,367,1.84,57708,1.848189,2020,1,17,5,1.84,1.87,1.83,367,1.84,57708,1.848189,20.62,21.5,20.55,15189,21.5,3501533,20.98146,121.89,122.84,121.47,18180,122.76,1971243,121.91927
2020-01-21 05:00:00+00:00,2.02,2.2,1.87,3464,1.94,1526994,2.052379,2020,1,21,5,2.02,2.2,1.87,3464,1.94,1526994,2.052379,20.94,21.49,20.645,14516,20.79,2221633,21.113282,120.72,121.93,120.54,24277,121.7,2863634,121.102901
2020-01-22 05:00:00+00:00,2.025,2.06,1.88,2640,1.97,1223358,1.974896,2020,1,22,5,2.025,2.06,1.88,2640,1.97,1223358,1.974896,21.97,23.2,21.7,47553,22.08,11675948,22.372894,120.55,121.68,120.33,15443,121.0,1455003,120.759114
2020-01-23 05:00:00+00:00,2.01,2.15,1.91,4723,2.08,1677241,2.003456,2020,1,23,5,2.01,2.15,1.91,4723,2.08,1677241,2.003456,21.47,22.65,21.4,20918,22.17,3918531,21.979458,119.5,120.25,118.46,24619,120.16,3893824,119.486555
2020-01-24 05:00:00+00:00,1.91,1.98,1.9,873,1.98,348915,1.944985,2020,1,24,5,1.91,1.98,1.9,873,1.98,348915,1.944985,21.12,21.8793,20.9,15321,21.6,3308629,21.217928,116.88,120.0,116.27,37702,119.85,4388462,117.369986
2020-01-27 05:00:00+00:00,1.85,1.93,1.8218,603,1.9,197754,1.879229,2020,1,27,5,1.85,1.93,1.8218,603,1.9,197754,1.879229,22.74,23.12,21.12,51503,22.1,10829419,22.427284,116.09,116.77,114.54,24107,115.0,2631774,115.866631
2020-01-28 05:00:00+00:00,1.83,1.89,1.76,440,1.87,157847,1.816246,2020,1,28,5,1.83,1.89,1.76,440,1.87,157847,1.816246,22.36,23.5,21.8501,28859,23.5,6228066,22.455287,117.32,117.84,116.54,22449,117.03,2613583,117.351883
2020-01-29 05:00:00+00:00,1.81,1.85,1.75,476,1.82,185135,1.806548,2020,1,29,5,1.81,1.85,1.75,476,1.82,185135,1.806548,20.55,22.34,20.45,24940,22.23,5064702,21.372877,117.24,117.98,117.16,13712,117.75,1724402,117.52066
2020-01-30 05:00:00+00:00,1.77,1.84,1.74,320,1.8,117624,1.770511,2020,1,30,5,1.77,1.84,1.74,320,1.8,117624,1.770511,20.99,21.74,20.8,18170,21.05,3480480,21.14162,115.54,116.83,114.74,28937,116.48,4392208,115.569775
2020-01-31 05:00:00+00:00,1.72,1.81,1.69,637,1.76,298528,1.728916,2020,1,31,5,1.72,1.81,1.69,637,1.76,298528,1.728916,20.51,21.32,20.05,20076,21.14,2999250,20.503147,113.81,115.34,112.64,29981,115.21,3445420,113.640612
2020-02-03 05:00:00+00:00,1.76,1.83,1.72,394,1.72,79539,1.748559,2020,2,3,5,1.76,1.83,1.72,394,1.72,79539,1.748559,20.38,21.06,19.7,20711,20.66,3421073,20.426002,115.82,116.19,114.71,20025,114.88,2154627,115.734145
2020-02-04 05:00:00+00:00,1.75,1.8,1.73,303,1.8,93387,1.769499,2020,2,4,5,1.75,1.8,1.73,303,1.8,93387,1.769499,20.87,20.88,19.75,12229,20.09,2027465,20.524305,118.59,118.94,117.28,27880,117.38,3162102,118.284215
2020-02-05 05:00:00+00:00,1.81,1.85,1.75,573,1.77,199888,1.810801,2020,2,5,5,1.81,1.85,1.75,573,1.77,199888,1.810801,20.05,21.2,19.67,16444,20.99,2869130,20.19915,121.56,123.48,119.53,43091,119.6,8342197,121.463625
2020-02-06 05:00:00+00:00,1.79,1.88,1.75,337,1.8,81769,1.7808,2020,2,6,5,1.79,1.88,1.75,337,1.8,81769,1.7808,19.85,20.32,19.7,13518,20.27,2088156,19.921953,122.47,122.95,121.32,30034,122.82,3771757,122.281119
