timestamp,close,high,low,trade_count,open,volume,vwap,year,month,day,hour,FUBO_close,FUBO_high,FUBO_low,FUBO_trade_count,FUBO_open,FUBO_volume,FUBO_vwap,DIS_close,DIS_high,DIS_low,DIS_trade_count,DIS_open,DIS_volume,DIS_vwap,QQQ_close,QQQ_high,QQQ_low,QQQ_trade_count,QQQ_open,QQQ_volume,QQQ_vwap
2020-01-02 05:00:00+00:00,,,,,,,,,,,,,,,,,,,148.2,148.2,145.1,93317,145.29,10277239,147.07842,216.16,216.16,213.98,120558,214.4,31783922,215.022191
2020-01-03 05:00:00+00:00,,,,,,,,,,,,,,,,,,,146.5,147.9,146.0549,73368,146.4,8310133,146.775061,214.18,215.47,213.28,129280,213.29,27845316,214.616328
2020-01-06 05:00:00+00:00,,,,,,,,,,,,,,,,,,,145.65,146.03,144.31,80333,145.54,8876667,145.194228,215.56,215.59,212.24,96333,212.49,22140049,214.440611
2020-01-07 05:00:00+00:00,,,,,,,,,,,,,,,,,,,145.7,146.8699,145.42,73183,145.99,7475385,146.036121,215.53,216.14,214.85,91735,215.64,23496517,215.631806
2020-01-08 05:00:00+00:00,,,,,,,,,,,,,,,,,,,145.4,146.13,144.82,63323,145.49,7632814,145.480093,217.15,218.14,215.16,124194,215.47,26872014,216.866063
2020-01-09 05:00:00+00:00,,,,,,,,,,,,,,,,,,,144.83,146.625,144.61,63291,146.47,7288830,145.231301,218.99,219.41,217.7125,110600,218.91,24006173,218.778176
2020-01-10 05:00:00+00:00,,,,,,,,,,,,,,,,,,,144.62,145.5,144.26,52933,145.3,6018247,144.777885,218.43,219.87,218.04,99305,219.76,22206287,219.119754
2020-01-13 05:00:00+00:00,,,,,,,,,,,,,,,,,,,143.88,144.75,143.36,81275,144.75,10835561,143.943431,220.95,220.98,218.98,92409,219.31,24137747,220.224429
2020-01-14 05:00:00+00:00,,,,,,,,,,,,,,,,,,,145.2,146.72,142.29,128850,143.41,15694577,144.847086,220.08,221.21,219.74,133071,220.75,24836522,220.407667
2020-01-15 05:00:00+00:00,,,,,,,,,,,,,,,,,,,144.32,145.71,143.93,65204,145.71,7918147,144.636899,220.17,221.2,219.45,109400,220.18,25915073,220.432277
